latitude,longitude,species
40.435752,-105.706299,Ochotona princeps
40.392642,-105.70851,Ochotona princeps
40.395588,-105.713785,Ochotona princeps
40.395825,-105.713786,Ochotona princeps
40.395747,-105.713973,Ochotona princeps
39.4575,-105.71972,Ochotona princeps
39.4575,-105.71972,Ochotona princeps
39.4575,-105.71972,Ochotona princeps
39.4575,-105.71972,Ochotona princeps
39.4575,-105.71972,Ochotona princeps
39.4575,-105.71972,Ochotona princeps
40.407185,-105.719891,Ochotona princeps
39.561802,-105.721853,Ochotona princeps
39.561802,-105.721853,Ochotona princeps
39.561802,-105.721853,Ochotona princeps
40.41321,-105.729294,Ochotona princeps
40.410687,-105.730501,Ochotona princeps
40.41054,-105.730562,Ochotona princeps
40.410563,-105.730716,Ochotona princeps
40.410961,-105.731824,Ochotona princeps
40.411949,-105.732437,Ochotona princeps
40.412153,-105.732848,Ochotona princeps
40.411578,-105.73293,Ochotona princeps
40.411882,-105.733058,Ochotona princeps
40.411882,-105.733058,Ochotona princeps
40.411882,-105.733058,Ochotona princeps
40.411882,-105.733058,Ochotona princeps
40.411882,-105.733058,Ochotona princeps
40.411882,-105.733058,Ochotona princeps
40.411882,-105.733058,Ochotona princeps
40.411882,-105.733058,Ochotona princeps
40.411882,-105.733058,Ochotona princeps
40.411844,-105.73316,Ochotona princeps
40.411747,-105.733166,Ochotona princeps
40.4123,-105.733368,Ochotona princeps
40.41274,-105.73351,Ochotona princeps
40.412524,-105.733608,Ochotona princeps
40.409668,-105.735683,Ochotona princeps
39.604989,-105.735683,Ochotona princeps
40.442484,-105.736674,Ochotona princeps
35.83232995,-105.7403051,Ochotona princeps
35.83232995,-105.7403051,Ochotona princeps
40.44051931,-105.7450808,Ochotona princeps
40.447079,-105.753916,Ochotona princeps
40.44091,-105.754557,Ochotona princeps
40.42516,-105.756422,Ochotona princeps
40.42516,-105.756422,Ochotona princeps
40.439995,-105.757442,Ochotona princeps
40.434274,-105.758343,Ochotona princeps
40.435804,-105.758514,Ochotona princeps
40.4307,-105.760795,Ochotona princeps
39.591656,-105.762858,Ochotona princeps
39.891654,-105.763062,Ochotona princeps
39.891654,-105.763062,Ochotona princeps
39.891654,-105.763062,Ochotona princeps
39.891654,-105.763062,Ochotona princeps
39.891654,-105.763062,Ochotona princeps
39.891654,-105.763062,Ochotona princeps
39.891654,-105.763062,Ochotona princeps
39.891654,-105.763062,Ochotona princeps
39.891654,-105.763062,Ochotona princeps
39.891654,-105.763062,Ochotona princeps
39.891654,-105.763062,Ochotona princeps
39.891654,-105.763062,Ochotona princeps
39.891654,-105.763062,Ochotona princeps
39.891654,-105.763062,Ochotona princeps
39.891654,-105.763062,Ochotona princeps
39.891654,-105.763062,Ochotona princeps
39.891654,-105.763062,Ochotona princeps
39.891654,-105.763062,Ochotona princeps
35.79533567,-105.7689746,Ochotona princeps
35.798669,-105.774283,Ochotona princeps
35.796281,-105.774589,Ochotona princeps
35.796658,-105.774925,Ochotona princeps
35.795606,-105.775189,Ochotona princeps
35.795161,-105.775353,Ochotona princeps
35.795164,-105.775353,Ochotona princeps
35.7969,-105.775544,Ochotona princeps
35.796744,-105.775569,Ochotona princeps
35.796644,-105.775983,Ochotona princeps
35.80027552,-105.7764598,Ochotona princeps
35.80027652,-105.7764628,Ochotona princeps
35.800299,-105.776676,Ochotona princeps
35.800299,-105.776676,Ochotona princeps
35.800299,-105.776676,Ochotona princeps
40.438468,-105.776737,Ochotona princeps
35.797478,-105.776817,Ochotona princeps
35.798011,-105.777225,Ochotona princeps
35.798592,-105.777261,Ochotona princeps
